id,review_id,category_id,rating_value,created_at
183,453,1,4.4,2025-06-18T16:33:04.432694
184,454,1,4.4,2025-06-18T16:33:04.432697
185,455,1,4.4,2025-06-18T16:33:04.432699
186,451,2,4.6,2025-06-18T16:33:04.432828
187,452,2,4.6,2025-06-18T16:33:04.432831
188,453,2,4.6,2025-06-18T16:33:04.432833
189,454,2,4.6,2025-06-18T16:33:04.432836
190,455,2,4.6,2025-06-18T16:33:04.432838
191,451,4,4.6,2025-06-18T16:33:04.432961
192,452,4,4.6,2025-06-18T16:33:04.432963
193,453,4,4.6,2025-06-18T16:33:04.432966
194,454,4,4.6,2025-06-18T16:33:04.432968
195,455,4,4.6,2025-06-18T16:33:04.432970
196,451,5,4.4,2025-06-18T16:33:04.433085
197,452,5,4.4,2025-06-18T16:33:04.433088
198,453,5,4.4,2025-06-18T16:33:04.433090
199,454,5,4.4,2025-06-18T16:33:04.433092
200,455,5,4.4,2025-06-18T16:33:04.433094
201,501,1,4.2,2025-06-18T16:33:04.433203
202,502,1,4.2,2025-06-18T16:33:04.433205
203,503,1,4.2,2025-06-18T16:33:04.433208
204,504,1,4.2,2025-06-18T16:33:04.433210
205,505,1,4.2,2025-06-18T16:33:04.433212
206,501,2,4.4,2025-06-18T16:33:04.433327
207,502,2,4.4,2025-06-18T16:33:04.433330
208,503,2,4.4,2025-06-18T16:33:04.433332
209,504,2,4.4,2025-06-18T16:33:04.433334
210,505,2,4.4,2025-06-18T16:33:04.433336
211,501,4,4.5,2025-06-18T16:33:04.433450
212,502,4,4.5,2025-06-18T16:33:04.433452
213,503,4,4.5,2025-06-18T16:33:04.433454
214,504,4,4.5,2025-06-18T16:33:04.433456
215,505,4,4.5,2025-06-18T16:33:04.433459
216,501,5,4.4,2025-06-18T16:33:04.433567
217,502,5,4.4,2025-06-18T16:33:04.433570
218,503,5,4.4,2025-06-18T16:33:04.433572
219,504,5,4.4,2025-06-18T16:33:04.433574
220,505,5,4.4,2025-06-18T16:33:04.433576
221,551,1,4.3,2025-06-18T16:33:04.433690
222,552,1,4.3,2025-06-18T16:33:04.433693
223,553,1,4.3,2025-06-18T16:33:04.433695
224,554,1,4.3,2025-06-18T16:33:04.433697
225,555,1,4.3,2025-06-18T16:33:04.433699
226,551,2,4.5,2025-06-18T16:33:04.433807
227,552,2,4.5,2025-06-18T16:33:04.433809
228,553,2,4.5,2025-06-18T16:33:04.433811
229,554,2,4.5,2025-06-18T16:33:04.433814
230,555,2,4.5,2025-06-18T16:33:04.433816
231,551,4,4.6,2025-06-18T16:33:04.433924
232,552,4,4.6,2025-06-18T16:33:04.433926
233,553,4,4.6,2025-06-18T16:33:04.433934
234,554,4,4.6,2025-06-18T16:33:04.433936
235,555,4,4.6,2025-06-18T16:33:04.433938
236,551,5,4.6,2025-06-18T16:33:04.434053
237,552,5,4.6,2025-06-18T16:33:04.434056
238,553,5,4.6,2025-06-18T16:33:04.434058
239,554,5,4.6,2025-06-18T16:33:04.434060
240,555,5,4.6,2025-06-18T16:33:04.434062
241,601,1,4.5,2025-06-18T16:33:04.434177
242,602,1,4.5,2025-06-18T16:33:04.434180
243,603,1,4.5,2025-06-18T16:33:04.434182
244,604,1,4.5,2025-06-18T16:33:04.434184
245,605,1,4.5,2025-06-18T16:33:04.434186
246,601,2,4.6,2025-06-18T16:33:04.434294
247,602,2,4.6,2025-06-18T16:33:04.434297
248,603,2,4.6,2025-06-18T16:33:04.434299
249,604,2,4.6,2025-06-18T16:33:04.434301
250,605,2,4.6,2025-06-18T16:33:04.434303
251,601,4,4.6,2025-06-18T16:33:04.434411
252,602,4,4.6,2025-06-18T16:33:04.434413
253,603,4,4.6,2025-06-18T16:33:04.434420
254,604,4,4.6,2025-06-18T16:33:04.434422
255,605,4,4.6,2025-06-18T16:33:04.434424
256,601,5,4.2,2025-06-18T16:33:04.434532
257,602,5,4.2,2025-06-18T16:33:04.434535
258,603,5,4.2,2025-06-18T16:33:04.434537
259,604,5,4.2,2025-06-18T16:33:04.434539
260,605,5,4.2,2025-06-18T16:33:04.434542
261,651,1,4.4,2025-06-18T16:33:04.434664
262,652,1,4.4,2025-06-18T16:33:04.434666
263,653,1,4.4,2025-06-18T16:33:04.434668
264,654,1,4.4,2025-06-18T16:33:04.434670
265,655,1,4.4,2025-06-18T16:33:04.434680
266,651,2,4.6,2025-06-18T16:33:04.434795
267,652,2,4.6,2025-06-18T16:33:04.434798
268,653,2,4.6,2025-06-18T16:33:04.434800
269,654,2,4.6,2025-06-18T16:33:04.434802
270,655,2,4.6,2025-06-18T16:33:04.434804
271,651,4,4.6,2025-06-18T16:33:04.434912
272,652,4,4.6,2025-06-18T16:33:04.434914
273,653,4,4.6,2025-06-18T16:33:04.434917
274,654,4,4.6,2025-06-18T16:33:04.434919
275,655,4,4.6,2025-06-18T16:33:04.434921
276,651,5,4.6,2025-06-18T16:33:04.435037
277,652,5,4.6,2025-06-18T16:33:04.435040
278,653,5,4.6,2025-06-18T16:33:04.435042
279,654,5,4.6,2025-06-18T16:33:04.435044
280,655,5,4.6,2025-06-18T16:33:04.435046
281,701,1,4.6,2025-06-18T16:33:04.435158
282,702,1,4.6,2025-06-18T16:33:04.435160
283,703,1,4.6,2025-06-18T16:33:04.435166
284,704,1,4.6,2025-06-18T16:33:04.435173
285,705,1,4.6,2025-06-18T16:33:04.435176
286,701,2,4.8,2025-06-18T16:33:04.435283
287,702,2,4.8,2025-06-18T16:33:04.435286
288,703,2,4.8,2025-06-18T16:33:04.435288
289,704,2,4.8,2025-06-18T16:33:04.435290
290,705,2,4.8,2025-06-18T16:33:04.435292
291,701,4,4.8,2025-06-18T16:33:04.435400
292,702,4,4.8,2025-06-18T16:33:04.435403
293,703,4,4.8,2025-06-18T16:33:04.435405
294,704,4,4.8,2025-06-18T16:33:04.435407
295,705,4,4.8,2025-06-18T16:33:04.435409
296,701,5,4.6,2025-06-18T16:33:04.435518
297,702,5,4.6,2025-06-18T16:33:04.435520
298,703,5,4.6,2025-06-18T16:33:04.435522
299,704,5,4.6,2025-06-18T16:33:04.435525
300,705,5,4.6,2025-06-18T16:33:04.435527
301,751,1,4.6,2025-06-18T16:33:04.435635
302,752,1,4.6,2025-06-18T16:33:04.435647
303,753,1,4.6,2025-06-18T16:33:04.435649
304,754,1,4.6,2025-06-18T16:33:04.435651
305,755,1,4.6,2025-06-18T16:33:04.435653
306,751,2,4.7,2025-06-18T16:33:04.435769
307,752,2,4.7,2025-06-18T16:33:04.435771
308,753,2,4.7,2025-06-18T16:33:04.435773
309,754,2,4.7,2025-06-18T16:33:04.435776
310,755,2,4.7,2025-06-18T16:33:04.435778
311,751,4,4.7,2025-06-18T16:33:04.435894
312,752,4,4.7,2025-06-18T16:33:04.435896
313,753,4,4.7,2025-06-18T16:33:04.435898
314,754,4,4.7,2025-06-18T16:33:04.435900
315,755,4,4.7,2025-06-18T16:33:04.435902
316,751,5,4.6,2025-06-18T16:33:04.436018
317,752,5,4.6,2025-06-18T16:33:04.436020
318,753,5,4.6,2025-06-18T16:33:04.436023
319,754,5,4.6,2025-06-18T16:33:04.436025
320,755,5,4.6,2025-06-18T16:33:04.436027
321,801,1,4.4,2025-06-18T16:33:04.436141
322,802,1,4.4,2025-06-18T16:33:04.436150
323,803,1,4.4,2025-06-18T16:33:04.436153
324,804,1,4.4,2025-06-18T16:33:04.436155
325,805,1,4.4,2025-06-18T16:33:04.436157
326,801,2,4.5,2025-06-18T16:33:04.436267
327,802,2,4.5,2025-06-18T16:33:04.436270
328,803,2,4.5,2025-06-18T16:33:04.436272
329,804,2,4.5,2025-06-18T16:33:04.436274
330,805,2,4.5,2025-06-18T16:33:04.436276
331,801,4,4.5,2025-06-18T16:33:04.436397
332,802,4,4.5,2025-06-18T16:33:04.436400
333,803,4,4.5,2025-06-18T16:33:04.436402
334,804,4,4.5,2025-06-18T16:33:04.436404
335,805,4,4.5,2025-06-18T16:33:04.436407
336,801,5,4.6,2025-06-18T16:33:04.436550
337,802,5,4.6,2025-06-18T16:33:04.436553
338,803,5,4.6,2025-06-18T16:33:04.436555
339,804,5,4.6,2025-06-18T16:33:04.436557
340,805,5,4.6,2025-06-18T16:33:04.436559
341,851,1,4.3,2025-06-18T16:33:04.436671
342,852,1,4.3,2025-06-18T16:33:04.436674
343,853,1,4.3,2025-06-18T16:33:04.436676
344,854,1,4.3,2025-06-18T16:33:04.436678
345,855,1,4.3,2025-06-18T16:33:04.436686
346,851,2,4.4,2025-06-18T16:33:04.436808
347,852,2,4.4,2025-06-18T16:33:04.436811
348,853,2,4.4,2025-06-18T16:33:04.436813
349,854,2,4.4,2025-06-18T16:33:04.436815
350,855,2,4.4,2025-06-18T16:33:04.436817
351,851,4,4.4,2025-06-18T16:33:04.436940
352,852,4,4.4,2025-06-18T16:33:04.436942
353,853,4,4.4,2025-06-18T16:33:04.436944
354,854,4,4.4,2025-06-18T16:33:04.436947
355,855,4,4.4,2025-06-18T16:33:04.436949
356,851,5,4.5,2025-06-18T16:33:04.437068
357,852,5,4.5,2025-06-18T16:33:04.437071
358,853,5,4.5,2025-06-18T16:33:04.437073
359,854,5,4.5,2025-06-18T16:33:04.437075
360,855,5,4.5,2025-06-18T16:33:04.437077
361,901,1,4.2,2025-06-18T16:33:04.437189
362,902,1,4.2,2025-06-18T16:33:04.437192
363,903,1,4.2,2025-06-18T16:33:04.437194
364,904,1,4.2,2025-06-18T16:33:04.437196
365,905,1,4.2,2025-06-18T16:33:04.437198
366,901,2,4.4,2025-06-18T16:33:04.437317
367,902,2,4.4,2025-06-18T16:33:04.437320
368,903,2,4.4,2025-06-18T16:33:04.437322
369,904,2,4.4,2025-06-18T16:33:04.437324
370,905,2,4.4,2025-06-18T16:33:04.437326
371,901,4,4.4,2025-06-18T16:33:04.437449
372,902,4,4.4,2025-06-18T16:33:04.437451
373,903,4,4.4,2025-06-18T16:33:04.437454
374,904,4,4.4,2025-06-18T16:33:04.437456
375,905,4,4.4,2025-06-18T16:33:04.437458
376,901,5,4.4,2025-06-18T16:33:04.437578
377,902,5,4.4,2025-06-18T16:33:04.437580
378,903,5,4.4,2025-06-18T16:33:04.437582
379,904,5,4.4,2025-06-18T16:33:04.437584
380,905,5,4.4,2025-06-18T16:33:04.437587
381,951,1,4.0,2025-06-18T16:33:04.437699
382,952,1,4.0,2025-06-18T16:33:04.437701
383,953,1,4.0,2025-06-18T16:33:04.437703
384,954,1,4.0,2025-06-18T16:33:04.437705
